X,Y,Name,description,gx_media_links
106.6988432,10.7684241,Đường Calmette,"<img src=""https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/m4r0u2pt9f25p0m9skqroc69us/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoqHnmgkiyXSuxxb4OY4XaKX-dU3AZD_0i7S-7mZXiy6_BmykvnWCdTklWx-VyiRP8q8kCp1qn_QiC3HDKagomB35zB0XHl8Ohox1PrVMok7lqSaV5uYWJ0d_v_9lSZAy4Rfs3LyBnt8V80wnu_JjmRxjvy-FDy1DdfgHUvMWctAr4GepP6BMFx3WKvp308HsfDk5QwuSK6t6dZeLXW1U5Ksj_BLyyRUkDawvfMt-Zct9dvyjD0cNSb3XRP-zc4bh9-w0dAvU3L6LRQbySdMZpke0njWw?fife"" height=""200"" width=""auto"" /><br><br>(Từ-Lê-Thị-Hồng-Gấm---Nguyễn-Công-Trứ)",https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/m4r0u2pt9f25p0m9skqroc69us/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoqHnmgkiyXSuxxb4OY4XaKX-dU3AZD_0i7S-7mZXiy6_BmykvnWCdTklWx-VyiRP8q8kCp1qn_QiC3HDKagomB35zB0XHl8Ohox1PrVMok7lqSaV5uYWJ0d_v_9lSZAy4Rfs3LyBnt8V80wnu_JjmRxjvy-FDy1DdfgHUvMWctAr4GepP6BMFx3WKvp308HsfDk5QwuSK6t6dZeLXW1U5Ksj_BLyyRUkDawvfMt-Zct9dvyjD0cNSb3XRP-zc4bh9-w0dAvU3L6LRQbySdMZpke0njWw?fife
106.6933233,10.7617206,Đường Cô Giang,"<img src=""https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/ulgv6138bclic0r1gqimfnd5b8/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoZ7h6zx2tW2PFKMqPHurPWK5nXDcPCNMUFG8LmieheEEyy35gUGH2TOFErTB6AOp_VOWckdsmuQxtK1oHS88-OROTDrbRc39Phs--ln0aMz8TRiIS4Lj_O-N2T-nvBa9znNLIyR2z6r2ZUoz25jdzvC5-IOwG58RdkgcbhUrrIeFfGrH4BgpHf6DCA8wet-tIjL7RYJg5Urs9lw_GoW9yjbx8ygkRJ-Qsyvvv2KZ7S-8CyTPvpC6-WmsT04RAxQPdxayt4bL5Q-wknWQkDvWWzDxlpwQ?fife"" height=""200"" width=""auto"" /><br><br>(Từ-Hồ-Hảo-Hớn---Nguyễn-Khắc-Nhu)",https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/ulgv6138bclic0r1gqimfnd5b8/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoZ7h6zx2tW2PFKMqPHurPWK5nXDcPCNMUFG8LmieheEEyy35gUGH2TOFErTB6AOp_VOWckdsmuQxtK1oHS88-OROTDrbRc39Phs--ln0aMz8TRiIS4Lj_O-N2T-nvBa9znNLIyR2z6r2ZUoz25jdzvC5-IOwG58RdkgcbhUrrIeFfGrH4BgpHf6DCA8wet-tIjL7RYJg5Urs9lw_GoW9yjbx8ygkRJ-Qsyvvv2KZ7S-8CyTPvpC6-WmsT04RAxQPdxayt4bL5Q-wknWQkDvWWzDxlpwQ?fife
106.6928378,10.7608906,Đường Hồ Hảo Hớn,"<img src=""https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/euu0h9k00m93nb5i084n3ne0sg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoYZSXGPH_QLZ5XkClHBtvz6nePJDQFovumKnrj-txcSVRYMC7nXfIY9Fd7cy7bhocF59R6y2m1rJg6qjx_Qbi0ICbPQRRZzBLU8YSB2ysPx2qNGObG5H4WUm68Yi2icvtuT_LiS_rjcMr4dtymlgnU7AEZeZBp49IjHyDlSlURJF4Id9Y8qZSfu0YpSpIXcg_cZmWpXsnKo5ZB3gNGEMZqHTLzQxQDRHSPSACmej4O56AtfsgLMprrH1DzdqOFOsfsjzQ3n-QdE9pIbBviqjh_95GwUQ?fife"" height=""200"" width=""auto"" /><br><br>(Từ-Võ-Văn-Kiệt---Cô-Bắc)",https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/euu0h9k00m93nb5i084n3ne0sg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoYZSXGPH_QLZ5XkClHBtvz6nePJDQFovumKnrj-txcSVRYMC7nXfIY9Fd7cy7bhocF59R6y2m1rJg6qjx_Qbi0ICbPQRRZzBLU8YSB2ysPx2qNGObG5H4WUm68Yi2icvtuT_LiS_rjcMr4dtymlgnU7AEZeZBp49IjHyDlSlURJF4Id9Y8qZSfu0YpSpIXcg_cZmWpXsnKo5ZB3gNGEMZqHTLzQxQDRHSPSACmej4O56AtfsgLMprrH1DzdqOFOsfsjzQ3n-QdE9pIbBviqjh_95GwUQ?fife
106.7001629,10.7696678,Đường Nguyễn Thái Bình,"<img src=""https://doc-00-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/q6nol71jmom157n9sguc5avssg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrbIHbJZDyMEf7dHAJ2nfciuh09wQF4ERROGn0zfridsNCCLvsyi-e8VzmSn2h9vV8l7ZQdpU1yKSF_8NOGsjEL57Rz6XEZFg-3uRkArdE171GDiNMhkBhP5vjMkKbmQLOdDvyYxbhL4qObNn2FYyRxAuk9wMUtTR0c3C9bYeh7r9mN6H6vsMQyhhH6abafnoSpb9R5vEb7CL7fantM4K5HxKh24HdZkMnXl2gK4vohy-rZrH-tixlW08bNGKRIwzRAbJIktk3R0QQF914BgxUZhi44bw?fife"" height=""200"" width=""auto"" /><br><br>(Từ-Phó-Đức-Chính - Yersin)",https://doc-00-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/q6nol71jmom157n9sguc5avssg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrbIHbJZDyMEf7dHAJ2nfciuh09wQF4ERROGn0zfridsNCCLvsyi-e8VzmSn2h9vV8l7ZQdpU1yKSF_8NOGsjEL57Rz6XEZFg-3uRkArdE171GDiNMhkBhP5vjMkKbmQLOdDvyYxbhL4qObNn2FYyRxAuk9wMUtTR0c3C9bYeh7r9mN6H6vsMQyhhH6abafnoSpb9R5vEb7CL7fantM4K5HxKh24HdZkMnXl2gK4vohy-rZrH-tixlW08bNGKRIwzRAbJIktk3R0QQF914BgxUZhi44bw?fife
