X,Y,Name,description,gx_media_links
106.6554987,10.751399,Đường Dương Tử Giang,"<img src=""https://doc-0o-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/oj038bt5edhl193nqcaknqasqk/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALr-o2DVE89383sO_blALWH02xWhJlytwjNvgygxui3M7tkwFYT7qc2NerTM6_eWo7kWA_LGg_qHTAIco7IwjEyKiC5gg8BRiWYPqBSntKQoi-YItzj24k9AUqTJGYnLvfMqshtsP2qMRmUvMBMT_T4MAFkcH7Oap3o_udsqbndGzXK_Mh5_KKYKOBWas4plixzadRPgtPBs01j8z_Gar0ErnBFVy2BqvpMq7WHb44EPMcLpQneIUf5U7ZcemYqnYfu8paU3KGu1MQowlY9c3UAaz2uuCA?fife"" height=""200"" width=""auto"" /><br><br>Đường-Dương-Tử-Giang-(Từ-Trang-Tử---Trần-Hưng-Đạo)",https://doc-0o-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/oj038bt5edhl193nqcaknqasqk/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALr-o2DVE89383sO_blALWH02xWhJlytwjNvgygxui3M7tkwFYT7qc2NerTM6_eWo7kWA_LGg_qHTAIco7IwjEyKiC5gg8BRiWYPqBSntKQoi-YItzj24k9AUqTJGYnLvfMqshtsP2qMRmUvMBMT_T4MAFkcH7Oap3o_udsqbndGzXK_Mh5_KKYKOBWas4plixzadRPgtPBs01j8z_Gar0ErnBFVy2BqvpMq7WHb44EPMcLpQneIUf5U7ZcemYqnYfu8paU3KGu1MQowlY9c3UAaz2uuCA?fife
106.6560097,10.7514754,Đường Đỗ Ngọc Thạnh,"<img src=""https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/25fkmgbi44tincqiaj3lperde4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALonAG2OmvsHtOKmtPFPL-7QBZbelC0dEAu48FcPDnpqGCClWPXLvg7ewQ5rwowCcmaDnoqvLDhCN95dEqgqmTIDR8Ech9hRL6190hymqrg_n8uiexfxYfywl3MLFeg9zxgqSudHyZpGmiyJijvzlVeuXt1ePnsBSl7Kwn5981H-bXDydDRim4i2CLCJnfJ096Fvn4oMI4SscgjDx1kjKeC_hndPq6RBQmRd2oKYAR5gj7PkYxEDTFq2czlGoZn7tpKuLu7jvsKKsNs0zFM3iDq3_V-knQ?fife"" height=""200"" width=""auto"" /><br><br>Đường-Đỗ-Ngọc-Thạch-(Từ-Trần-Hưng-Đạo---Trang-Tử)",https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/25fkmgbi44tincqiaj3lperde4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALonAG2OmvsHtOKmtPFPL-7QBZbelC0dEAu48FcPDnpqGCClWPXLvg7ewQ5rwowCcmaDnoqvLDhCN95dEqgqmTIDR8Ech9hRL6190hymqrg_n8uiexfxYfywl3MLFeg9zxgqSudHyZpGmiyJijvzlVeuXt1ePnsBSl7Kwn5981H-bXDydDRim4i2CLCJnfJ096Fvn4oMI4SscgjDx1kjKeC_hndPq6RBQmRd2oKYAR5gj7PkYxEDTFq2czlGoZn7tpKuLu7jvsKKsNs0zFM3iDq3_V-knQ?fife
106.6552573,10.7480497,Đường Gò Công,"<img src=""https://doc-0o-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/5rdln7npo91b2o19l77er5kqlg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoIDZyehuAkfbemdQ9sYlbK8qbpJu1sYOgk4kOLvMLxD6EqPq9aL2IK_T_ZxZ0IpWzDszz3HyJej-Y1_vTCazTRKt9_rI_qrrtD4SBUfds-5mbedue0f0r_blQEA0TigDWmJvoPxkzgfXh46bWPrcot4jlfuV1fDP1lYafG5h6NA5os4gfXcH4QBJDzLVV4xPQkBDd9Gpbw6oJ1-1JjRHRY_YKDt6kDUnwbnvKfW5UPTjYXLzxhLn8PECX7FW4o1PPr1nLOubZKtP_fJISekDvi2YCwFg?fife"" height=""200"" width=""auto"" /><br><br>Đường-Gò-Công-(Từ-Hải-Thượng-Lãn-Ông---Võ-Văn-Kiệt).",https://doc-0o-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/5rdln7npo91b2o19l77er5kqlg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoIDZyehuAkfbemdQ9sYlbK8qbpJu1sYOgk4kOLvMLxD6EqPq9aL2IK_T_ZxZ0IpWzDszz3HyJej-Y1_vTCazTRKt9_rI_qrrtD4SBUfds-5mbedue0f0r_blQEA0TigDWmJvoPxkzgfXh46bWPrcot4jlfuV1fDP1lYafG5h6NA5os4gfXcH4QBJDzLVV4xPQkBDd9Gpbw6oJ1-1JjRHRY_YKDt6kDUnwbnvKfW5UPTjYXLzxhLn8PECX7FW4o1PPr1nLOubZKtP_fJISekDvi2YCwFg?fife
106.6833052,10.756996,Đường Nguyễn Biểu,"<img src=""https://doc-0c-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/esprspr9epdcv2rq6pldc2q6b8/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALpRZJSvvxScaJjMWjQcvJ0KdnGOAw0DmfnGseHuwsR6VxFnxoTlxMwR6jjZAjU-PpBhDIEO7Cy-nSlw5b4lK7jJPNEaOpkDWEWl9_GuY6pCOgjrZun6o2CklmmeAe3bpT-gDCqe6KQYY9-wkcFiPjsuPZwgBOnxNdT2ODDwaSB9DN_zLW3ZyJM7KfiE4Ps1pzL_XZNflPV3duX8IJkJUfEPFJpbdzBLb4xYbjdZHwKukyoURtyxnB0mkZIjpudcTcaGH2HAlSvgSVTK5pcwzmT7qrPCvg?fife"" height=""200"" width=""auto"" /><br><br>(Từ-Trần-Hưng-Đạo---Phan-Văn-Trị)",https://doc-0c-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/esprspr9epdcv2rq6pldc2q6b8/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALpRZJSvvxScaJjMWjQcvJ0KdnGOAw0DmfnGseHuwsR6VxFnxoTlxMwR6jjZAjU-PpBhDIEO7Cy-nSlw5b4lK7jJPNEaOpkDWEWl9_GuY6pCOgjrZun6o2CklmmeAe3bpT-gDCqe6KQYY9-wkcFiPjsuPZwgBOnxNdT2ODDwaSB9DN_zLW3ZyJM7KfiE4Ps1pzL_XZNflPV3duX8IJkJUfEPFJpbdzBLb4xYbjdZHwKukyoURtyxnB0mkZIjpudcTcaGH2HAlSvgSVTK5pcwzmT7qrPCvg?fife
106.6553003,10.7519998,Đường Trần Hưng Đạo,"<img src=""https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/182i14kr5qjmtrhdesaobfq9qo/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALonFLK54TLoXJBwGVGJyQS3zU7tbNQ1Zu10hnEGaKVxmst478qs1k-nkzEeVktsHuWw6rhkHrQw2fHyTTCF6-ypapVshGUL2SXkUty4RKOKqjeB25OdL5h_qzbaXZhblsSrKVs1Cbks4972WpGMXm4ZsNTlewnQN61fm0G2r8OmL7-VG1EFUXGFqxDdjeyUnRRjUiL7bU2CAD7Cj9EqNkKdwjktvEJgc3Mde_Pux6lMuAIXDZK_ngmI6PRBKkLRN-r0uxSeDhOwDpJGoFepY-nS21g6lg?fife"" height=""200"" width=""auto"" /><br><br>(Từ-Dương-Tử-Giang---Học-Lạc)",https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/182i14kr5qjmtrhdesaobfq9qo/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALonFLK54TLoXJBwGVGJyQS3zU7tbNQ1Zu10hnEGaKVxmst478qs1k-nkzEeVktsHuWw6rhkHrQw2fHyTTCF6-ypapVshGUL2SXkUty4RKOKqjeB25OdL5h_qzbaXZhblsSrKVs1Cbks4972WpGMXm4ZsNTlewnQN61fm0G2r8OmL7-VG1EFUXGFqxDdjeyUnRRjUiL7bU2CAD7Cj9EqNkKdwjktvEJgc3Mde_Pux6lMuAIXDZK_ngmI6PRBKkLRN-r0uxSeDhOwDpJGoFepY-nS21g6lg?fife
106.6844049,10.7562634,Đường-Trần-Hưng-Đạo,"<img src=""https://doc-0o-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/pm8k87nbv1dtto40ngc29tfeak/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrY5zPYoR5OjiILzTtEcOvtHTaGmggu45yw5ZkGx5rQB2WXhwDUikwnKlGhnJpOpaR-rfaELZa3P7w3xeQkcO__ArDxSZqEuu6IWvO7_BvlZxjuH9AKdKLWYauV4sBBoKJ1Eqm_p9tAt3z4fc3CJh8K8nyuipphflo5T12rHDKLeO3OD_pTG-1Q_nOP7CCoLpUrDJ1HU7IitFxXRSyj_qoAc1qUiFr8eT9a4BnpIaDYkShAutmgr-WiEYwTBwpBLbwNwk8NAiZ74TNsD5kvDCw-JYz1qw?fife"" height=""200"" width=""auto"" /><br><br>(Từ-Nguyễn-Văn-Cừ---Nguyễn-Biểu)",https://doc-0o-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/pm8k87nbv1dtto40ngc29tfeak/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrY5zPYoR5OjiILzTtEcOvtHTaGmggu45yw5ZkGx5rQB2WXhwDUikwnKlGhnJpOpaR-rfaELZa3P7w3xeQkcO__ArDxSZqEuu6IWvO7_BvlZxjuH9AKdKLWYauV4sBBoKJ1Eqm_p9tAt3z4fc3CJh8K8nyuipphflo5T12rHDKLeO3OD_pTG-1Q_nOP7CCoLpUrDJ1HU7IitFxXRSyj_qoAc1qUiFr8eT9a4BnpIaDYkShAutmgr-WiEYwTBwpBLbwNwk8NAiZ74TNsD5kvDCw-JYz1qw?fife
106.6848555,10.7570948,Nguyễn Văn Cừ,"<img src=""https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/qudv4ja8a164oa1f6tsfdo0s88/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALohDuQd0ELtqtmi6tyUHpgHhKGY0X7gHuQDqJ96VA47Mh3MPpnKaiov-J80QGuqGnGKuC8ePUHKq8NB9l6CL4mm6QQWiy8lHOClpWZPYPFwtkmG-9YRN5nS8jq2HVIQQZxdv6lNj8IfB8-TfSnI8Eofl7V8iMzt5ZIi959kFA7jRhGKkMEg7JrHdPGuKcnppikTTTXsOAjjTw36hWfsWgX9vM0dG9JpeD1Ig2fJZjhL9WIDhBWnOLegpd7xixZ_Hmh_Y01VUsj6NSiGwJ8RVUF7Yhn8Mg?fife"" height=""200"" width=""auto"" /><br><br>Nguyễn-Văn-Cừ-(LP)-(Từ-số-nhà-99---số-nhà-149)",https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/qudv4ja8a164oa1f6tsfdo0s88/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALohDuQd0ELtqtmi6tyUHpgHhKGY0X7gHuQDqJ96VA47Mh3MPpnKaiov-J80QGuqGnGKuC8ePUHKq8NB9l6CL4mm6QQWiy8lHOClpWZPYPFwtkmG-9YRN5nS8jq2HVIQQZxdv6lNj8IfB8-TfSnI8Eofl7V8iMzt5ZIi959kFA7jRhGKkMEg7JrHdPGuKcnppikTTTXsOAjjTw36hWfsWgX9vM0dG9JpeD1Ig2fJZjhL9WIDhBWnOLegpd7xixZ_Hmh_Y01VUsj6NSiGwJ8RVUF7Yhn8Mg?fife
106.7342269,10.7254656,Huỳnh Tấn Phát,"<img src=""https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/jp12vfqv4c2g86h490gqjm323g/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoeJ7pMME_w1A1MjAnX67wPSoHroZigwBCiUqL8C5aFCbuDH33R8kXUX10yNs6llL6gjGf-S5hJk2sRqSfmNWQXDe3jH7KyvrmIMpTSpRZgYjIpwPUZyvT3gmdT76GSyl-hzjUVdN_Gpz48_QpLW2IfGzLLI8ty96YbGw7X-cXFEs-MUsEa01G_WUeKpzIqID7HX1k_42OU86t3XBtTUSoDRK1ToF4KrKISXn9zvbGI8Q75ySwLD3AaFemIInQy6YRuqEvV3AatF_Ck2CXCK2C0y3ZYiA?fife"" height=""200"" width=""auto"" /><br><br>Đường-Huỳnh-Tấn-Phát-(Từ-Gò-Ô-Môi---Hẻm-1333.",https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/jp12vfqv4c2g86h490gqjm323g/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoeJ7pMME_w1A1MjAnX67wPSoHroZigwBCiUqL8C5aFCbuDH33R8kXUX10yNs6llL6gjGf-S5hJk2sRqSfmNWQXDe3jH7KyvrmIMpTSpRZgYjIpwPUZyvT3gmdT76GSyl-hzjUVdN_Gpz48_QpLW2IfGzLLI8ty96YbGw7X-cXFEs-MUsEa01G_WUeKpzIqID7HX1k_42OU86t3XBtTUSoDRK1ToF4KrKISXn9zvbGI8Q75ySwLD3AaFemIInQy6YRuqEvV3AatF_Ck2CXCK2C0y3ZYiA?fife
